Tahun;Jumlah kunjungan wisatawan;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1964;352832;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1965;366649;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1966;432937;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1967;476771;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1968;519004;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1969;608744;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1970;854419;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1971;660715;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1972;723744;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1973;784691;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1974;764246;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1975;811672;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1976;914772;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1977;102814;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1978;1038875;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1979;1112606;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1980;1316632;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1981;1583043;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1982;1793164;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1983;1968461;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1984;2110346;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1985;2327047;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1986;2061526;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1987;2154864;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1988;2355412;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1989;2835064;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1990;323586;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1991;3532651;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1992;358154;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1993;3410447;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1994;3468055;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1995;3345274;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1996;3837113;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1997;4218208;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1998;4106057;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1999;4437863;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2000;4757146;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2001;4771555;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2002;5238963;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2003;5211725;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2004;6137905;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2005;6727926;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2006;7334077;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2007;8346969;;;Data Aktual Jumlah Kunjungan;;;;;Hasil Perhitungan Regresi Linier;;;;;;;;;;;;;;;;;;;;;;;;;;
2008;8350835;;No;Tahun (x);Jumlah kunjungan wisatawan;;Data (n);x;y;X^2;Y^2;XY;;;Data(n);Tahun(x);Jumlah Kunjungan(y);Prediksi(Y);MAPE;Akurat <= 10;Baik 10 - 20;Cukup 20 - 50;Tidak Akurat > 50;;APE;;;;;;;;Hasil prediksi metode regresi linier dari 2024-2038;;
2009;6789658;;1;2009;6789658;;1;1;6789658;1;46099455756964;6789658;;2009;1;1;6789658;11055611,29;62,83;;;;1;;62,83016452;;931,7260042;;;;;;2024;16;13215753
2010;8611175;;2;2010;8611175;;2;2;8611175;4;74152334880625;17222350;;2010;2;2;8611175;11199620,75;30,06;;;1;;;30,05914693;;;;;;;;2025;17;13359763
2011;6218752;;3;2011;6218752;;3;3;6218752;9;38672876437504;18656256;;2011;3;3;6218752;11343630,20;82,41;;;;1;;82,41007519;;;;;;;;2026;18;13503772
2012;8358105;;4;2012;8358105;;4;4;8358105;16;69857919191025;33432420;;2012;4;4;8358105;11487639,65;37,44;;;1;;;37,44311243;;;;;;;;2027;19;13647781
2013;10363918;;5;2013;10363918;;5;5;10363918;25;107410796310724;51819590;;2013;5;5;10363918;11631649,11;12,23;;1;;;;12,23216071;;;;;;;;2028;20;13791791
2014;13413473;;6;2014;13413473;;6;6;13413473;36;179921257921729;80480838;;2014;6;6;13413473;11775658,56;12,21;;1;;;;12,21021909;;;;;;;;2029;21;13935800
2015;19737409;;7;2015;19737409;;7;7;19737409;49;389565314033281;138161863;;2015;7;7;19737409;11919668,01;39,61;;;1;;;39,60875;;;;;;;;2030;22;14079810
